group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,1024,,,52099827.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50328470.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50029078.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50711851.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50044961.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50143553.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50038168.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50043217.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49979847.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49906317.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49916530.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50034179.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50051603.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50371882.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50133586.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49979346.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50031793.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50112062.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50146680.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50582989.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50083520.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50248550.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50103488.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50293304.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50755793.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50121071.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50075457.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50036974.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50061740.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50084092.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50105723.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50055922.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49981459.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50088260.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50085705.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50660945.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50203847.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50057484.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50177236.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50685751.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50082329.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50214407.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49946896.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50044249.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50459267.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50166207.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50298596.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50055279.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50171435.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50064005.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50000085.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50173201.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50013437.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50052673.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50107728.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50086707.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50215790.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50102196.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50674461.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50095925.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50068372.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50047815.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50014390.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49924081.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50522975.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49925281.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50134256.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49966079.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49985126.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50316779.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49967113.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49997830.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50107546.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49901602.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49915506.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50327439.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50032638.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50052413.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,52260601.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50070047.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50025624.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50035021.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49984016.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50584895.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50541963.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50616962.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50281442.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50164605.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49999732.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,51958581.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,49948377.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50518357.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50148263.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50015907.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50192164.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50204789.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50365549.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50231797.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50284837.0,ns,20
Zig-zag polygon rasterize,montone_rasterize,1024,,,50142255.0,ns,20
