group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,32,,,53977247.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52301789.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51434899.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51302220.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51472202.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51327187.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51708965.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51509029.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51250073.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51254613.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51351614.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51204999.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51387361.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51225398.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51222050.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51337999.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51180432.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51112005.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51206833.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51134737.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51513678.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51849650.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51390556.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51297042.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51214486.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51092758.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51332408.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51151107.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51300278.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51658220.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51466501.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51402060.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51292694.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51221741.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51399415.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51323262.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51446682.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51515493.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51264481.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51314553.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51781651.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51635298.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51417287.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51448256.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51425224.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52069893.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53149680.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52238229.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52397098.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53567056.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52634684.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51642260.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51700529.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53757895.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53395935.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53456046.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53346390.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52990093.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52089661.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51813501.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51703365.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51739103.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51545079.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52103707.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51591986.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52135458.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53707119.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52800483.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53364555.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53586221.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52571356.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,58134997.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,52212140.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51946662.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,51945991.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,54977695.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,54207799.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53701667.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53795575.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,32,,,53996683.0,ns,4
