group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133340309.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132724000.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132379304.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132477557.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132551207.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132333428.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132477218.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132551937.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132992325.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132517383.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132333187.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132462109.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132454084.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,132430149.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134652533.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134150390.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134446115.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134165919.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135079605.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133977015.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133982054.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134315340.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134743865.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134000138.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133922593.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134075820.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134388237.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134683221.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136142581.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,140255678.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134863550.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134126304.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136729855.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,137809914.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135131333.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134359063.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134416109.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134103062.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133892365.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,133837704.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135002581.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,148610140.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,140666610.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136029610.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,137543654.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136269220.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135930233.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134502562.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,134791785.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136337468.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,136621182.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135864530.0,ns,1
Zig-zag polygon rasterize,montone_rasterize_areas,8,,,135659836.0,ns,1
