group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,8,,,47941675.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46917823.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46944015.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,48682839.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47062817.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47246683.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46844135.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46901421.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46941268.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47324476.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47809287.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,48053936.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47109262.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46848505.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46968720.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46925798.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47090157.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46827204.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46946788.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46926291.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46942210.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46812586.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47372027.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47768232.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47941217.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,48128096.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47025797.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47079548.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46849585.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46991533.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47231263.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47116946.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46785915.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47182531.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46912654.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47704351.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46992435.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47390922.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46769136.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46976414.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47050212.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47896040.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46918775.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47957237.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47067385.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46879782.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,48877906.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47258113.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47564748.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46958269.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46886675.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47230582.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47195385.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46833596.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47175769.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47088846.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47033320.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47055402.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47156002.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46951928.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46983966.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47742494.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47209553.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46858020.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,46996784.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47199172.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47288951.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,47325951.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,8,,,50603837.0,ns,4
