group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,256,,,55907047.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55054257.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55035510.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55066861.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,54986911.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55585225.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55067040.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55111193.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55051070.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55105563.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55093671.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55231829.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55152871.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55198006.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55109401.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55541772.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55736045.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55029189.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55288697.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,60958230.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,58910027.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,56811476.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55022728.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55639866.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55418409.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55364789.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55101365.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55232382.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,54975710.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55008010.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55014713.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55037776.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55005786.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55875610.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,54973165.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,54971240.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,256,,,55406958.0,ns,4
