group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,16,,,52039705.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52411693.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51944928.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51866430.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54144949.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54312105.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51832747.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52080081.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51861409.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54338964.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,55478804.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53114935.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52938913.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52214844.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52459934.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52308048.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52345530.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52207672.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52302959.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52187253.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52424408.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52698151.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52325903.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52517253.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52254858.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52116180.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52097535.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52160382.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54073576.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53262652.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52177455.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52199885.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52057650.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51833678.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51941782.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52317166.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52316867.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52159379.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52655763.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53041818.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53518494.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52116397.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52346480.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52350430.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52314050.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52147017.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51965564.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52301407.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54639809.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52310965.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51820105.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51978438.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51937303.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51870327.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51889743.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51863305.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51818379.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51923749.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52094978.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51922685.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51735104.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51905724.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51854347.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51914869.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52012445.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51842394.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51817478.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53291938.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,53135342.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51806258.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51820214.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52092705.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52099417.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52155963.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51962311.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51849879.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52201098.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52069141.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52090972.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51904110.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52193635.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52109607.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52252166.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52245632.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52009559.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51947003.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51892229.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,54242063.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52084410.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51845639.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51992276.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52041399.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52085992.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51969845.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51870288.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51885485.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51948342.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,52259739.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51835182.0,ns,4
Zig-zag polygon rasterize,montone_rasterize,16,,,51906956.0,ns,4
