group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,256,,,50589736.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49747936.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49701057.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49688666.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49701580.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,57756633.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,51053816.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49741102.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49681379.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50070581.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49725575.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49642199.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49795363.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50834607.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50652854.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49800154.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49618714.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49734638.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49608052.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50145410.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49624966.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49655103.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49663887.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49669466.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49692923.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,54095957.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,54379753.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49740832.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49709952.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49720073.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49668197.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49710497.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49785254.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49694205.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49717827.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50071983.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50128219.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49957599.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50106079.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49738517.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49680129.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49676242.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49648659.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49629784.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49730240.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49676395.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,58737875.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50067405.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49672283.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49671484.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50498876.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50133451.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49765799.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49624251.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49849767.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49680842.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49906335.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49760829.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50463170.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50122999.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49757023.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49698534.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49686333.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49820671.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49619965.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49781318.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,56559275.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50120204.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49777118.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49668044.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49945955.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49912264.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49783274.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49697942.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49852030.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49734498.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49714933.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50098374.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,50271348.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49680940.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49590690.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49720835.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49665564.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49646498.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49625614.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49677092.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,52197565.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,54647226.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49876136.0,ns,23
Zig-zag polygon rasterize,montone_rasterize,256,,,49875383.0,ns,23
