group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,32,,,50220420.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50139017.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50191275.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50608999.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49809928.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50131833.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49909885.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50064106.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49883606.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49966293.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49972934.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50220610.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,49946555.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50110112.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,32,,,50408793.0,ns,4
