group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,32,,,59844910.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59674871.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59783034.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59697514.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59766773.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59766533.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,60948242.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59866231.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59850551.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59680142.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59769138.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59711781.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59721839.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59931524.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59825234.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59827038.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59838900.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59744831.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59698525.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59772425.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59783394.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59769637.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59899593.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,60858885.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59959606.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59857756.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59867402.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59898633.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59828939.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59787162.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,60263517.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59802982.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59855049.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59810386.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59765352.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59746897.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59739132.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59764270.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59955429.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59821127.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,62814748.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59777515.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59843428.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59853196.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59814633.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59764340.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59812381.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59912629.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59962813.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59887461.0,ns,5
Zig-zag polygon rasterize,geo_rasterize,32,,,59814826.0,ns,5
