group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,128,,,52526958.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51454364.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51221628.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51545216.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51434278.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51391549.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51368884.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51103897.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51060998.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51092174.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51287552.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51237969.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51278474.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51312750.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51173708.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51190198.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51166444.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51146347.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51242096.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51135847.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,52107781.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51151996.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51078640.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51215586.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51241515.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51104729.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51025980.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51222699.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51265159.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51098338.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51397226.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51006674.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51015501.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51004230.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51061738.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,50991386.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51040466.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51086425.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51016932.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51060838.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,52170620.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51390966.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51180550.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51090813.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51309965.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51237538.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51145736.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51215398.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51061157.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51146176.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51173648.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51269417.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51110660.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51180220.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51057781.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51081445.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51038175.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51068101.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51100490.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51511481.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,52546578.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51300005.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51484642.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51028847.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51250040.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51610128.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51253947.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51317929.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51570053.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51004881.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,50953496.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51102303.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51000102.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51291809.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51239582.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51560464.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51286550.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51489651.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51464675.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51722640.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,54920633.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,52206797.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51323029.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51217931.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51629012.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51336523.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51131780.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51105170.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51290317.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51193737.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51210268.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51044896.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51498448.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51560545.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51298764.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51567999.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51423500.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51285138.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,51118465.0,ns,4
Zig-zag polygon rasterize,geo_rasterize,128,,,52427422.0,ns,4
