group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,montone_rasterize,512,,,51557435.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,51382800.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50904519.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50713168.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50831746.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50625685.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50706035.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50663537.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50604495.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50637919.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50759928.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50676170.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50721004.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50592583.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50663647.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50680792.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,52941292.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,54106522.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50665191.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50683407.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50761291.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50858413.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50634444.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50728460.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50639162.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50865909.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50737978.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,51021919.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50626488.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50601993.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50703382.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50607243.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50769727.0,ns,22
Zig-zag polygon rasterize,montone_rasterize,512,,,50994868.0,ns,22
