group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Zig-zag polygon rasterize,geo_rasterize,2048,,,54779639.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54705271.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54571038.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54879418.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54613739.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54567161.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54564174.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54531765.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54484005.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54469718.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54466612.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54894626.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,55037705.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54674683.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,57635102.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54465119.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54762006.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54613288.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54481531.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54762498.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54561460.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54498202.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54438610.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54497882.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54486961.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54548006.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54412461.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54408003.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54431969.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54369000.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54520693.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54549679.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54484996.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54555058.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,56856892.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54533749.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54628808.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54719618.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,55880377.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54513370.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54646790.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54737050.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54617586.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54496769.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54472693.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54652401.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54621334.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54591366.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54500075.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54419013.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54578613.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54418252.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54390640.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54273179.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54378839.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54308757.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54686916.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54374800.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54439430.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54313686.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54313114.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54309617.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54344143.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54367175.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54461452.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54365794.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,60243580.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54490788.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54330577.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54294880.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54494977.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54312363.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54355554.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54386683.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54546222.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54781003.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54310840.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54312613.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54398927.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54336949.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54381923.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54481010.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54406720.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54367747.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54373267.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54384380.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54411159.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54345185.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54399067.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54375591.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54552435.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54412010.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54397835.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54607066.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54592159.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54380120.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54476923.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54453658.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54367597.0,ns,2
Zig-zag polygon rasterize,geo_rasterize,2048,,,54372657.0,ns,2
